wlr_allocator, destroy, nullptr_t
wlr_backend, destroy, wlr_backend
wlr_backend, new_input, wlr_input_device
wlr_backend, new_output, wlr_output
wlr_buffer, destroy, nullptr_t
wlr_buffer, release, nullptr_t
wlr_compositor, destroy, nullptr_t
wlr_compositor, new_surface, wlr_surface
wlr_content_type_manager_v1, destroy, nullptr_t
wlr_cursor, axis, wlr_pointer_axis_event
wlr_cursor, button, wlr_pointer_button_event
wlr_cursor, frame, wlr_cursor
wlr_cursor, hold_begin, wlr_pointer_hold_begin_event
wlr_cursor, hold_end, wlr_pointer_hold_end_event
wlr_cursor, motion, wlr_pointer_motion_event
wlr_cursor, motion_absolute, wlr_pointer_motion_absolute_event
wlr_cursor, pinch_begin, wlr_pointer_pinch_begin_event
wlr_cursor, pinch_end, wlr_pointer_pinch_end_event
wlr_cursor, pinch_update, wlr_pointer_pinch_update_event
wlr_cursor, swipe_begin, wlr_pointer_swipe_begin_event
wlr_cursor, swipe_end, wlr_pointer_swipe_end_event
wlr_cursor, swipe_update, wlr_pointer_swipe_update_event
wlr_cursor, tablet_tool_axis, wlr_tablet_tool_axis_event
wlr_cursor, tablet_tool_button, wlr_tablet_tool_button_event
wlr_cursor, tablet_tool_proximity, wlr_tablet_tool_proximity_event
wlr_cursor, tablet_tool_tip, wlr_tablet_tool_tip_event
wlr_cursor, touch_cancel, wlr_touch_cancel_event
wlr_cursor, touch_down, wlr_touch_down_event
wlr_cursor, touch_frame, nullptr_t
wlr_cursor, touch_motion, wlr_touch_motion_event
wlr_cursor, touch_up, wlr_touch_up_event
wlr_cursor_shape_manager_v1, destroy, nullptr_t
wlr_cursor_shape_manager_v1, request_set_shape, wlr_cursor_shape_manager_v1_request_set_shape_event
wlr_data_control_manager_v1, destroy, wlr_data_control_manager_v1
wlr_data_control_manager_v1, new_device, wlr_data_control_device_v1
wlr_data_device_manager, destroy, wlr_data_device_manager
wlr_data_source, destroy, wlr_data_source
wlr_device, change, wlr_device_change_event
wlr_device, remove, nullptr_t
wlr_drag, destroy, wlr_drag
wlr_drag, drop, wlr_drag_drop_event
wlr_drag, focus, wlr_drag
wlr_drag, motion, wlr_drag_motion_event
wlr_drag_icon, destroy, wlr_drag_icon
wlr_drm, destroy, nullptr_t
wlr_drm_lease, destroy, nullptr_t
wlr_drm_lease_v1_manager, destroy, nullptr_t
wlr_drm_lease_v1_manager, request, wlr_drm_lease_request_v1
wlr_export_dmabuf_manager_v1, destroy, wlr_export_dmabuf_manager_v1
wlr_ext_data_control_manager_v1, destroy, wlr_ext_data_control_manager_v1
wlr_ext_data_control_manager_v1, new_device, wlr_ext_data_control_device_v1
wlr_ext_foreign_toplevel_handle_v1, destroy, nullptr_t
wlr_ext_foreign_toplevel_list_v1, destroy, nullptr_t
wlr_ext_image_capture_source_v1, constraints_update, nullptr_t
wlr_ext_image_capture_source_v1, destroy, nullptr_t
wlr_ext_image_capture_source_v1, frame, wlr_ext_output_image_capture_source_v1_frame_event
wlr_ext_image_capture_source_v1_cursor, update, nullptr_t
wlr_ext_image_copy_capture_frame_v1, destroy, nullptr_t
wlr_foreign_toplevel_handle_v1, destroy, wlr_foreign_toplevel_handle_v1
wlr_foreign_toplevel_handle_v1, request_activate, wlr_foreign_toplevel_handle_v1_activated_event
wlr_foreign_toplevel_handle_v1, request_close, wlr_foreign_toplevel_handle_v1
wlr_foreign_toplevel_handle_v1, request_fullscreen, wlr_foreign_toplevel_handle_v1_fullscreen_event
wlr_foreign_toplevel_handle_v1, request_maximize, wlr_foreign_toplevel_handle_v1_maximized_event
wlr_foreign_toplevel_handle_v1, request_minimize, wlr_foreign_toplevel_handle_v1_minimized_event
wlr_foreign_toplevel_handle_v1, set_rectangle, wlr_foreign_toplevel_handle_v1_set_rectangle_event
wlr_foreign_toplevel_manager_v1, destroy, wlr_foreign_toplevel_manager_v1
wlr_fractional_scale_manager_v1, destroy, nullptr_t
wlr_fullscreen_shell_v1, destroy, wlr_fullscreen_shell_v1
wlr_fullscreen_shell_v1, present_surface, wlr_fullscreen_shell_v1_present_surface_event
wlr_gamma_control_manager_v1, destroy, wlr_gamma_control_manager_v1
wlr_gamma_control_manager_v1, set_gamma, wlr_gamma_control_manager_v1_set_gamma_event
wlr_idle_inhibit_manager_v1, destroy, wlr_idle_inhibit_manager_v1
wlr_idle_inhibit_manager_v1, new_inhibitor, wlr_idle_inhibitor_v1
wlr_idle_inhibitor_v1, destroy, wlr_surface
wlr_input_device, destroy, wlr_input_device
wlr_input_method_keyboard_grab_v2, destroy, wlr_input_method_keyboard_grab_v2
wlr_input_method_manager_v2, destroy, wlr_input_method_manager_v2
wlr_input_method_manager_v2, input_method, wlr_input_method_v2
wlr_input_method_v2, commit, wlr_input_method_v2
wlr_input_method_v2, destroy, wlr_input_method_v2
wlr_input_method_v2, grab_keyboard, wlr_input_method_keyboard_grab_v2
wlr_input_method_v2, new_popup_surface, wlr_input_popup_surface_v2
wlr_input_popup_surface_v2, destroy, nullptr_t
wlr_keyboard, key, wlr_keyboard_key_event
wlr_keyboard, keymap, wlr_keyboard
wlr_keyboard, modifiers, wlr_keyboard
wlr_keyboard, repeat_info, wlr_keyboard
wlr_keyboard_group, enter, wl_array
wlr_keyboard_group, leave, wl_array
wlr_keyboard_shortcuts_inhibit_manager_v1, destroy, wlr_keyboard_shortcuts_inhibit_manager_v1
wlr_keyboard_shortcuts_inhibit_manager_v1, new_inhibitor, wlr_keyboard_shortcuts_inhibitor_v1
wlr_keyboard_shortcuts_inhibitor_v1, destroy, wlr_keyboard_shortcuts_inhibitor_v1
wlr_layer_shell_v1, destroy, wlr_layer_shell_v1
wlr_layer_shell_v1, new_surface, wlr_layer_surface_v1
wlr_layer_surface_v1, destroy, wlr_layer_surface_v1
wlr_layer_surface_v1, new_popup, wlr_xdg_popup
wlr_linux_dmabuf_v1, destroy, wlr_linux_dmabuf_v1
wlr_multi_backend, backend_add, wlr_backend
wlr_multi_backend, backend_remove, wlr_backend
wlr_output, bind, wlr_output_event_bind
wlr_output, commit, wlr_output_event_commit
wlr_output, damage, wlr_output_event_damage
wlr_output, description, wlr_output
wlr_output, destroy, wlr_output
wlr_output, frame, wlr_output
wlr_output, needs_frame, wlr_output
wlr_output, precommit, wlr_output_event_precommit
wlr_output, present, wlr_output_event_present
wlr_output, request_state, wlr_output_event_request_state
wlr_output_layer, feedback, wlr_output_layer_feedback_event
wlr_output_layout, add, wlr_output_layout_output
wlr_output_layout, change, wlr_output_layout
wlr_output_layout, destroy, wlr_output_layout
wlr_output_layout_output, destroy, wlr_output_layout_output
